num, diff, time, interval, avg, miner,malicious
3,26960470,1498831382,37,37,0x79383bc28a37043b42b00a44537de911517b301c,0
4,26973634,1498831392,10,23.5,0xaaf8ac0664f12b9bb916c381874bc7618e5f258d,0
5,26960464,1498831423,31,26,0xa1002ebe85b2f051be11f423b0223533c423bae5,0
6,26947300,1498831490,67,36.25,0x79383bc28a37043b42b00a44537de911517b301c,0
7,26934143,1498831522,32,35.4,0x7f58ea96fe161a5c4a458c37ae9bc7e931fead87,0
8,26947294,1498831533,11,31.33333333,0x59c5763acc70558a4905b701a52425f5fc89af78,0
9,26934137,1498831551,18,29.42857143,0xeed079e4a91977f852d2088ffc6d1df9bdcd6a6c,0
10,26920986,1498831567,16,27.75,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
11,26934131,1498831571,4,25.11111111,0x63ac91ab26d9baa9aac9ee27ca86887e79b15af9,0
12,26947282,1498831577,6,23.2,0xeda5a83750f70077027e4a8b067473f156a6e3d9,0
13,26934125,1498831592,15,21,0x42590dc501d5147a4d222f77ff447a37698eae9e,0
14,26920974,1498831606,14,21.4,0xf3418d961aacbc052a20da73f78bf8b4dc0c7cca,0
15,26934119,1498831615,9,19.2,0x6dd8928913f84798a78ca333c46d4c62d8545536,0
16,26920968,1498831628,13,13.8,0xc1365f4aca412396724eeeb26d850682889dd89e,0
17,26934113,1498831637,9,11.5,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
18,26947264,1498831646,9,11.3,0xa1002ebe85b2f051be11f423b0223533c423bae5,0
19,26960421,1498831649,3,9.8,0xeda5a83750f70077027e4a8b067473f156a6e3d9,0
20,26973585,1498831657,8,9,0xc166be8c815334f1031376ff4b921a6b37123df3,0
21,26986755,1498831668,11,9.7,0x6dd8928913f84798a78ca333c46d4c62d8545536,0
22,26999932,1498831675,7,9.8,0x91ea2596b497773de510f91bbd8d05181060e83a,0
23,27013115,1498831681,6,8.9,0x44e0d0c924c7b861da16c02cfb94033874a0e33e,0
24,26999926,1498831698,17,9.2,0xeed079e4a91977f852d2088ffc6d1df9bdcd6a6c,0
25,26986743,1498831712,14,9.7,0xf39beed37a6ba883c9c6d07f8eee9c99c631362d,0
26,26973566,1498831732,20,10.4,0x5fcbab75a11885bb35119d9bf4bd737b876773f8,0
27,26986736,1498831739,7,10.2,0x79383bc28a37043b42b00a44537de911517b301c,0
28,26973559,1498831766,27,12,0xffa66435b0aca3cbd26c4f56c19b1f0c86e2527a,0
29,26986729,1498831767,1,11.8,0xeda5a83750f70077027e4a8b067473f156a6e3d9,0
30,26973552,1498831809,42,15.2,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
31,26986722,1498831821,12,15.3,0xaaf8ac0664f12b9bb916c381874bc7618e5f258d,0
32,26973545,1498831846,25,17.1,0xac7288a94329daf666597d00cce8ab5e033663a2,0
33,26960375,1498831877,31,19.6,0x9d2162a3b94b3911ce4e3ba450c209984a62b1ad,0
34,26973539,1498831888,11,19,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
35,26986709,1498831895,7,18.3,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
36,26999886,1498831900,5,16.8,0xa35ba80a37249d64136538cd7fc5b05f81910576,0
37,27013069,1498831909,9,17,0x63ac91ab26d9baa9aac9ee27ca86887e79b15af9,0
38,26999880,1498831935,26,16.9,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
39,26986697,1498831948,13,18.1,0xffa66435b0aca3cbd26c4f56c19b1f0c86e2527a,0
40,26999874,1498831957,9,14.8,0x7f58ea96fe161a5c4a458c37ae9bc7e931fead87,0
41,27013057,1498831960,3,13.9,0xac7288a94329daf666597d00cce8ab5e033663a2,0
42,27026246,1498831967,7,12.1,0xc3d504f01d0cb68f96f9ad993514a78232a60a53,0
43,27039442,1498831976,9,9.9,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
44,27052644,1498831982,6,9.4,0x5fcbab75a11885bb35119d9bf4bd737b876773f8,0
45,27039435,1498831998,16,10.3,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
46,27052637,1498832006,8,10.6,0xe450f26d41ff0e2fa3aa88196536b05a74fbc6fd,0
47,27065846,1498832009,3,10,0x5fcbab75a11885bb35119d9bf4bd737b876773f8,0
48,27052631,1498832029,20,9.4,0x42590dc501d5147a4d222f77ff447a37698eae9e,0
49,27039422,1498832059,30,11.1,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
50,27026220,1498832076,17,11.9,0xa35ba80a37249d64136538cd7fc5b05f81910576,0
51,27039416,1498832087,11,12.7,0x44e0d0c924c7b861da16c02cfb94033874a0e33e,0
52,27052618,1498832090,3,12.3,0xeda5a83750f70077027e4a8b067473f156a6e3d9,0
53,27065827,1498832095,5,11.9,0x7506d3473a733b782e5f0825eca8172c895f61d0,0
54,27052612,1498832127,32,14.5,0xc3d504f01d0cb68f96f9ad993514a78232a60a53,0
55,27039403,1498832152,25,15.4,0xf39beed37a6ba883c9c6d07f8eee9c99c631362d,0
56,27026201,1498832165,13,15.9,0xffa66435b0aca3cbd26c4f56c19b1f0c86e2527a,0
57,27039397,1498832172,7,16.3,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
58,27052599,1498832176,4,14.7,0x59c5763acc70558a4905b701a52425f5fc89af78,0
59,27065808,1498832181,5,12.2,0x09bf9a7d6999ee2a034685a4ef767253685491ab,0
60,27052593,1498832208,27,13.2,0xc1365f4aca412396724eeeb26d850682889dd89e,0
61,27065802,1498832210,2,12.3,0x6dd8928913f84798a78ca333c46d4c62d8545536,0
62,27079017,1498832221,11,13.1,0xb2d437af9d6426828ce2bb99b3f26a625896cc89,0
63,27092239,1498832224,3,12.9,0xa35ba80a37249d64136538cd7fc5b05f81910576,0
64,27105467,1498832230,6,10.3,0x7506d3473a733b782e5f0825eca8172c895f61d0,0
65,27118702,1498832242,12,9,0xf3418d961aacbc052a20da73f78bf8b4dc0c7cca,0
66,27131943,1498832253,11,8.8,0x63ac91ab26d9baa9aac9ee27ca86887e79b15af9,0
67,27145191,1498832257,4,8.5,0xffa66435b0aca3cbd26c4f56c19b1f0c86e2527a,0
68,27131937,1498832312,55,13.6,0x7b4c9a78a8e25dff07ba35d3c7681ac66c460ec6,0
69,27118689,1498832340,28,15.9,0xffa66435b0aca3cbd26c4f56c19b1f0c86e2527a,0
70,27131930,1498832344,4,13.6,0x42590dc501d5147a4d222f77ff447a37698eae9e,0
71,27145178,1498832347,3,13.7,0x2fb1c8847bebb0163832bbab34898a03d2f8f5c6,0
72,27158432,1498832359,12,13.8,0xa1002ebe85b2f051be11f423b0223533c423bae5,0
73,27145172,1498832372,13,14.8,0x42590dc501d5147a4d222f77ff447a37698eae9e,0
74,27158426,1498832379,7,14.9,0x91ea2596b497773de510f91bbd8d05181060e83a,0
75,27171686,1498832384,5,14.2,0xc3d504f01d0cb68f96f9ad993514a78232a60a53,0
76,27158419,1498832409,25,15.6,0x6dd8928913f84798a78ca333c46d4c62d8545536,0
77,27171679,1498832411,2,15.4,0x13b82ad5aaaa5fb76b3d5cc8038f051e516b3868,0
78,27158412,1498832430,19,11.8,0xde144fe110689c8108e4724dc7d14e48d5dfce2b,0
79,27145152,1498832450,20,11,0xde144fe110689c8108e4724dc7d14e48d5dfce2b,0
80,27158406,1498832460,10,11.6,0x9d2162a3b94b3911ce4e3ba450c209984a62b1ad,0
81,27171666,1498832465,5,11.8,0x59c5763acc70558a4905b701a52425f5fc89af78,0
82,27158399,1498832485,20,12.6,0x39937a5b68a6b285d27401b27d647fde002ca589,0
83,27145139,1498832503,18,13.1,0xc3d504f01d0cb68f96f9ad993514a78232a60a53,0
84,27131885,1498832526,23,14.7,0xd78202a383f4c0e4589c48bb872a44ed1de4c8f5,0
85,27145132,1498832531,5,14.7,0xeda5a83750f70077027e4a8b067473f156a6e3d9,0
86,27131878,1498832548,17,13.9,0xc1365f4aca412396724eeeb26d850682889dd89e,0
87,27145125,1498832558,10,14.7,0xac7288a94329daf666597d00cce8ab5e033663a2,0
