num, diff, time, interval, avg,malicious
181,27357712,1498815016,50,15.8,0
182,27371070,1498815027,11,16.3,0
183,27357706,1498815053,26,18,0
184,27344348,1498815067,14,18.6,0
185,27357699,1498815070,3,17.8,0
186,27344341,1498815088,18,18.3,0
187,27330990,1498815105,17,16.3,0
188,27344335,1498815112,7,16.8,0
189,27357686,1498815115,3,15.5,0
190,27371044,1498815121,6,15.5,0
191,27357680,1498815148,27,13.2,0
192,27344322,1498815166,18,13.9,0
193,27330971,1498815192,26,13.9,0
194,27344316,1498815201,9,13.4,0
195,27357667,1498815209,8,13.9,0
196,27371025,1498815216,7,12.8,0
197,27384389,1498815222,6,11.7,0
198,27397760,1498815224,2,11.2,0
199,27411137,1498815226,2,11.1,0
200,27397753,1498815250,24,12.9,0
201,27411130,1498815255,5,10.7,0
202,27424514,1498815262,7,9.6,0
203,27437904,1498815263,1,7.1,0
204,27424507,1498815277,14,7.6,0
205,27411117,1498815297,20,8.8,0
206,27424501,1498815302,5,8.6,0
207,27437891,1498815314,12,9.2,0
208,27451288,1498815325,11,10.1,0
209,27437885,1498815344,19,11.8,0
210,27451282,1498815347,3,9.7,0
211,27464685,1498815354,7,9.9,0
212,27478095,1498815357,3,9.5,0
213,27491512,1498815365,8,10.2,0
214,27504935,1498815368,3,9.1,0
215,27518365,1498815380,12,8.3,0
216,27531801,1498815387,7,8.5,0
217,27545244,1498815397,10,8.3,0
218,27558693,1498815402,5,7.7,0
219,27545237,1498815416,14,7.2,0
220,27558686,1498815422,6,7.5,0
221,27572142,1498815430,8,7.6,0
222,27558680,1498815449,19,9.2,0
223,27572136,1498815460,11,9.5,0
224,27558674,1498815473,13,10.5,0
225,27545218,1498815488,15,10.8,0
226,27558667,1498815495,7,10.8,0
227,27545211,1498815509,14,11.2,0
228,27558660,1498815513,4,11.1,0
229,27572116,1498815520,7,10.4,0
230,27558654,1498815534,14,11.2,0
231,27545198,1498815561,27,13.1,0
232,27558647,1498815562,1,11.3,0
233,27572103,1498815566,4,10.6,0
234,27585565,1498815576,10,10.3,0
235,27599034,1498815580,4,9.2,0
236,27612510,1498815581,1,8.6,0
237,27625992,1498815584,3,7.5,0
238,27639481,1498815592,8,7.9,0
239,27652976,1498815604,12,8.4,0
240,27639474,1498815617,13,8.3,0
241,27652969,1498815624,7,6.3,0
242,27639467,1498815637,13,7.5,0
243,27625972,1498815662,25,9.6,0
244,27612483,1498815680,18,10.4,0
245,27599001,1498815717,37,13.7,0
246,27612477,1498815723,6,14.2,1
247,27598995,1498815775,52,19.1,1
248,27612471,1498815776,1,18.4,1
249,27598989,1498815803,27,19.9,1
250,27612465,1498815811,8,19.4,1
251,27625947,1498815816,5,19.2,1
252,27639436,1498815827,11,19,1
253,27625941,1498815856,29,19.4,1
254,27612452,1498815873,17,19.3,1
255,27598970,1498815924,51,20.7,1
256,27612446,1498815925,1,20.2,1
257,27598964,1498815953,28,17.8,1
258,27612440,1498815965,12,18.9,1
259,27625922,1498815969,4,16.6,1
260,27612433,1498815999,30,18.8,1
261,27598951,1498816059,60,24.3,1
262,27612427,1498816071,12,24.4,1
263,27598945,1498816086,15,23,1
264,27585469,1498816172,86,29.9,1
265,27572000,1498816193,21,26.9,1
266,27585462,1498816196,3,27.1,1
267,27571993,1498816213,17,26,1
268,27585455,1498816217,4,25.2,1
269,27571986,1498816256,39,28.7,1
270,27558524,1498816284,28,28.5,1
271,27545068,1498816321,37,26.2,1
272,27531619,1498816347,26,27.6,1
273,27518176,1498816363,16,27.7,1
274,27531612,1498816375,12,20.3,1
275,27518169,1498816443,68,25,1
276,27504733,1498816514,71,31.8,1
277,27491303,1498816554,40,34.1,1
278,27504726,1498816564,10,34.7,1
279,27491296,1498816669,105,41.3,1
280,27477873,1498816701,32,41.7,1
281,27464457,1498816792,91,47.1,1
282,27451047,1498816825,33,47.8,1
283,27437644,1498816929,104,56.6,1
284,27424247,1498816942,13,56.7,1
285,27410857,1498816971,29,52.8,1
286,27397473,1498817026,55,51.2,1
287,27410850,1498817037,11,48.3,1
288,27397466,1498817121,84,55.7,1
289,27384089,1498817135,14,46.6,1
290,27370718,1498817148,13,44.7,1
291,27357354,1498817224,76,43.2,1
292,27343996,1498817281,57,45.6,1
293,27330645,1498817340,59,41.1,1
294,27317300,1498817389,49,44.7,1
295,27303962,1498817410,21,43.9,1
296,27290630,1498817446,36,42,1
297,27277305,1498817558,112,52.1,1
298,27263987,1498817675,117,55.4,1
299,27250675,1498817698,23,56.3,1
300,27263980,1498817705,7,55.7,1
301,27250668,1498817727,22,50.3,1
302,27237363,1498817860,133,57.9,1
303,27250662,1498817872,12,53.2,1
304,27237357,1498817893,21,50.4,1
305,27224058,1498817914,21,50.4,1
306,27210766,1498818066,152,62,1
307,27197480,1498818134,68,57.6,1
308,27184200,1498818186,52,51.1,1
309,27170927,1498818216,30,51.8,1
310,27184194,1498818220,4,51.5,1
311,27170921,1498818351,131,62.4,1
312,27157654,1498818392,41,53.2,1
313,27144394,1498818471,79,59.9,1
314,27131140,1498818488,17,59.5,1
315,27117893,1498818562,74,64.8,1
316,27104652,1498818581,19,51.5,1
317,27091418,1498818599,18,46.5,1
318,27078190,1498818626,27,44,1
319,27064969,1498818748,122,53.2,1
320,27051754,1498818778,30,55.8,1
